MARKETID,MARKETNAME,CITY,PHONE,LATITUDE,LONGITUDE,ADDRESSLINE1,ADDRESSLINE2,STATE,COUNTRY,POSTALCODE
59,Pak 'N Save,San Leandro,510-483-2681,37.7010803147289,-122.144094030444,555 Floresta Blvd,,CA,US,94578
60,Safeway,Oakland,510-482-2266,37.82506,-122.20961,2096 Mountain Blvd,,CA,US,94611
61,Pak 'N Save,Emeryville,510-450-1200,37.8299903225806,-122.279599032258,3889 San Pablo Ave,,CA,US,94608
62,Safeway,San Leandro,510-483-2225,37.68662,-122.13905,699 Lewelling,,CA,US,94579
63,Safeway,Oakland,510-658-6612,37.8351829391081,-122.251807887936,5130 Broadway,,CA,US,94618
64,Safeway,Oakland,510-985-0012,37.8504285714286,-122.252397142857,6310 College Ave,,CA,US,94618
65,Safeway,San Francisco,415-633-1001,37.77643,-122.39415,298 King St.,,CA,US,94107
66,Safeway,San Francisco,415-575-1120,37.7656628378378,-122.409248648649,2300 - 16Th St. Unit No.203,,CA,US,94103
67,Safeway,San Francisco,415-982-3112,37.7970125,-122.398845,145 Jackson St.,,CA,US,94111
68,Safeway,San Francisco,415-826-2866,37.7431104275764,-122.421526381616,3350 Mission St,,CA,US,94110
69,Safeway,San Francisco,415-861-7660,37.76895,-122.427232727273,2020 Market St,,CA,US,94114
70,Safeway,Moraga,925-376-9492,37.8351302040816,-122.129967755102,1355 Moraga Way,,CA,US,94556
71,Safeway,Millbrae,650-652-3416,37.60357,-122.39367,525 El Camino Real,,CA,US,94030
72,Safeway,Burlingame,650-343-3488,37.5761706225132,-122.347198638857,1450 Howard Ave.,,CA,US,94010
73,Safeway,San Mateo,650-347-2704,37.579535,-122.3336,860 N Delaware St,,CA,US,94401
74,Safeway,Pacifica,650-359-6707,37.582756237102,-122.483742474204,1380 Linda Mar Blvd,,CA,US,94044
75,Safeway,San Mateo,650-341-0374,37.5526460835174,-122.314039654329,1655 El Camino Real,,CA,US,94402
76,Safeway,San Mateo,650-341-4039,37.51981,-122.33766,100 De Anza Blvd,,CA,US,94402
77,Safeway,South San Francisco,650-588-9005,37.6456790984109,-122.453556057748,2255 Gellert Blvd,,CA,US,94080
78,Safeway,South San Francisco,650-952-8867,37.65602,-122.43259,30 Chestnut Ave,,CA,US,94080
79,Safeway,Foster City,650-377-0711,37.5554733333333,-122.275826666667,921 E Hillsdale Blvd,,CA,US,94404
80,Safeway,Pacifica,650-359-2751,37.6510943145161,-122.491555645161,12 Manor Plz,,CA,US,94044
81,Safeway,Belmont,650-591-0235,37.51216,-122.29435,2100 Ralston Ave,,CA,US,94002
82,Safeway,Half Moon Bay,650-726-1143,37.467217752809,-122.43372988764,70 Cabrillo Hwy,,CA,US,94019
83,Safeway,Belmont,650-596-1730,37.51971,-122.27516,1100 El Camino,,CA,US,94002
84,Safeway,Daly City,650-755-0576,37.698928178392,-122.482233505025,601 Westlake Ctr.,,CA,US,94015
85,Safeway,San Francisco,415-587-7200,37.719243877551,-122.438952040816,4950 Mission St,,CA,US,94112
86,Safeway,San Francisco,415-586-2421,37.7315490243902,-122.449370243902,625 Monterey Blvd,,CA,US,94127
87,Safeway,Redwood City,650-306-1900,37.4837142857143,-122.231797142857,1071 El Camino,,CA,US,94063
88,Safeway,San Francisco,415-824-7744,37.7436442222222,-122.437882666667,5290 Diamond Hts Blvd,,CA,US,94131
89,Safeway,San Francisco,415-665-4136,37.7431346938776,-122.47388755102,730 Taraval St.,,CA,US,94116
90,Safeway,San Francisco,415-683-4070,37.7746851020408,-122.464914897959,735 7Th Ave.,,CA,US,94118
91,Safeway,San Francisco,415-387-4664,37.7723069048068,-122.509974577667,850 La Playa St.,,CA,US,94121
92,Safeway,San Francisco,415-665-4565,37.7536944897959,-122.488805918367,2350 Noriega St.,,CA,US,94122
93,Safeway,San Francisco,415-921-4557,37.7828926530612,-122.43093244898,1335 Webster St,,CA,US,94115
94,Safeway,San Francisco,415-563-4946,37.80513,-122.43288,15 Marina Blvd,,CA,US,94123
95,Safeway,San Francisco,415-781-4374,37.8057328571429,-122.412781836735,350 Bay St.,,CA,US,94133
96,Safeway,Mill Valley,415-388-6216,37.89336,-122.53007,1 Camino Alto,,CA,US,94941
97,Safeway,Mill Valley,415-360-9016,37.8986350886875,-122.513109243543,110 Strawberry Village B100,,CA,US,94941
98,Safeway,Los Altos,650-941-1801,37.3792313888889,-122.118828888889,160 1st St.,,CA,US,94022
99,Safeway,Menlo Park,650-854-3056,37.4244362210334,-122.197124185386,325 S Sharon Park Dr.,,CA,US,94025
100,Safeway,Mountain View,650-903-5850,37.372233255814,-122.087085581395,1750 Miramonte,,CA,US,94040
101,Safeway,Redwood City,650-365-2522,37.4660561538462,-122.224348461538,850 Woodside Rd,,CA,US,94061
102,Pharmacy at Safeway,Redwood City,,37.4766229787234,-122.211295531915,2710 Middlefield Road,,CA,US,94063
103,Safeway,Cupertino,408-253-0112,37.3375428571429,-122.03424,20620 W Homestead Rd,,CA,US,95014
104,Safeway,Sunnyvale,408-481-3300,37.3564639507544,-122.018462909117,785 East El Camino Real,,CA,US,94087
105,Safeway,San Jose,408-257-3070,37.3104871428571,-122.011712857143,6150 Bollinger Rd,,CA,US,95129
106,Safeway,Saratoga,408-867-0180,37.2812389655172,-122.032311724138,12876 Saratoga Sunnyvale Rd,,CA,US,95070
